n,t0,t,kV
3,23.74,9.11,0.47
3,21,8.05,0.47
3,21.76,7.83,0.47
3,22,9.2,0.46
3,21.08,8.74,0.48
4,21.88,8.38,0.47
4,21.18,7.55,0.47
4,24.73,7.23,0.47
4,25.38,8.15,0.47
4,23.76,8.26,0.47
5,18.45,8.48,2.00
5,18.73,8.06,2.00
5,20.25,8.25,2.00
5,21.00,7.71,2.00
5,19,8.36,2.00
6,16.13,15.25,-2.2
6,18.03,15.48,-2.2
6,16.21,16.81,-2.2
6,16.30,16.53,-2.2
6,15.38,15.56,-2.2
7,13.88,14.78,-0.28
7,12.60,16.09,-0.28
7,12.51,14.66,-0.29
7,13.35,15.56,-0.29
7,12.55,15.06,-0.29
8,22.18,5.91,-0.3
8,25.68,9.73,-0.2
8,23.81,9.23,-0.2
8,22.65,10.3,-0.2
8,23.21,9.78,-0.2
9,15.08,13.78,0.22
9,17.80,14.83,0.22
9,15.73,15.3,0.22
9,16.46,14.83,0.22
9,16.48,13.9,0.22
10,19.20,13.8,-0.34
10,21.13,13.6,-0.34
10,21.48,15.23,-0.34
10,20.11,15.46,-0.34
10,20.93,14.18,-0.34
11,18.38,16.53,0.34
11,16.56,21.65,0.34
11,19.13,18.51,0.34
11,17.46,18.11,0.34
11,17.26,18.35,0.34
12,12.00,11.56,-0.34
12,11.80,11.75,-0.34
12,11.85,11.16,-0.34
12,11.81,11.56,-0.34
12,12.15,12.83,-0.34
13,29.95,14.75,0.25
13,29.91,12.46,0.25
13,35.35,13.28,0.25
14,13.05,9.00,-0.34
14,14.18,20.53,-0.22
14,12.71,21.00,-0.22
1,17.38,15.25,0.46
1,14.16,14.13,0.46
1,16.33,14.13,0.48
1,15.85,13.51,0.49
1,15.65,13.25,0.48
